,Tweets,Subjectivity,Polarity,Analysis
3,I get motivated in this type of market.,0.0,0.0,Neutral
4, LFG,0.0,0.0,Neutral
5,"They are buying bags of bitcoin while you sell. 

I can’t wait for all the articles confirming this weeks from now.",0.0,0.0,Neutral
6," She’s so adorable. God bless.

P.S. - You guys are also about the same height. 💀",0.5625,0.25,Positive
7,  🤣,0.0,0.0,Neutral
8,I feel like Captain Planet. 🥷 ,0.0,0.0,Neutral
9, Because everyone wants instant gratification.,0.3833333333333333,0.1,Positive
0,Bearmarket ? 🐻,0.0,0.0,Neutral
1,Bitcoin is targeting 29k 🙄 BTC,0.0,0.0,Neutral
2,Wich cryptos are you holding?,0.0,0.0,Neutral
3,Turn on my notis 🔔 show proof,0.0,0.0,Neutral
4,I´m giving $SHIB to the first 3000 people who follows and retweets!!,0.3333333333333333,0.390625,Positive
5,Buy the dip!!,0.0,0.0,Neutral
6,Drop your $SHIB address!!,0.0,0.0,Neutral
7,I´m giving $SHIB to the first 3500 people who follows and retweets!!,0.3333333333333333,0.390625,Positive
8,Drop your $SHIB address,0.0,0.0,Neutral
9,How are you holders? ☺️,0.0,0.0,Neutral
0,"ICYMI: Binance became the first crypto organization to formally join the National Cyber-Forensics and Training Alliance (NCFTA).

",0.3333333333333333,0.25,Positive
1,Solve the puzzle ⤵️ ,0.0,0.0,Neutral
2,Pay with crypto. ,0.0,0.0,Neutral
3,"Learn more about one of our latest products, Binance Code.
",0.7,0.5,Positive
4,Which monopoly piece do you usually pick? ,0.25,-0.25,Negative
5,"If you're into gaming and NFTs, read this. 
",0.0,0.0,Neutral
6,It's never too late to start. Here's a simple guide on buying BTC and other crypto assets! ,0.444047619047619,-0.15208333333333332,Negative
7,"What are Fibonacci retracements? 

Here's everything you need to know 👇 ",0.0,0.0,Neutral
8,Binance eggs for breakfast. ,0.0,0.0,Neutral
9,Pick a song. ,0.0,0.0,Neutral
0,:  _nft Riding _nft through the 9 realms of Asgard until we reach Valhalla!,0.0,0.0,Neutral
1,": Hot out the coop bokboknews

""_nft riders wanted"" 

-------

Holding _nft in their treasury is not the only th…",0.925,0.125,Positive
2, _nft You will be able to use _nft as a mount for your character in Midgard,0.625,0.5,Positive
3,:  @_theartofcrypto _Pause what do we think of this project on Avax? I’m liking everything I read about it,0.0,0.0,Neutral
4,"We highly recommend reading our updated docs in regards to Midgard Online. 

Here's an extremely early concept look at Midgard Online. The environment will change but it gives an idea of the 2.5D perspective.

NFT NFTGaming GameFi cryptocurrency ",0.41999999999999993,0.13,Positive
5,_submarine: Mega stoked to mount my coq chikn nft,0.0,0.0,Neutral
6,Nothing to see here? 🐓 ,0.0,0.0,Neutral
7, Building the Metaverse in AVAX. Thank you for a wonderful platform to build our projects on! $VOLT $MEAD $EGG NFT GameFi ,1.0,1.0,Positive
8,"_skipps:  The team behind this project are extremely knowledgeable, they’re truly passionate of this project even calling i…",0.85,-0.19166666666666668,Negative
9,:  _nft ride the coq!,0.0,0.0,Neutral
0,"🔥MoonBear Finance is finally listed on DappRadar.

🚀This opens the opportunity for more people to discover the great potential of $MBF.

This is the perfect time for you to join!

MBF cryptocurrency altcoins ",0.85,0.45999999999999996,Positive
1,"🗣️But if you want even better results and higher volume, you should keep inviting your friends and shill the project everywhere you can!

👍Everybody deserves to know about our revolutionary staking platform! Don’t be selfish and share it!

MBF crypto altcoin",0.6666666666666666,0.08854166666666667,Positive
2,"🐻Our $MBF Ads are LIVE🐻

🔥As you already know our staking platform has been generating rewards for all who have staked.

⬆️ And for more rewards, we need higher volume.

🚀 That’s why we have launched our ads to attract the attention to us!",0.5,0.40625,Positive
3,"🐻Our petition is going viral🐻

🌏Join us on the mission to save these animals from extinction and to protect them from torture!

🖊️Sign here - 

$MBF MBF ReleaseTheMoonBear CryptoNews   ",0.0,0.0,Neutral
4,"🐻Staking Rewards News🐻

🎉 All $MBF staking rewards will be automatically distributed every 8 hours if we have generated at least $500 in fees!

🙌 We truly appreciate your patience and understanding! The automatic distribution is already LIVE!

MBF cryptocurrency altcoin",0.45,-0.1491477272727273,Negative
5, You should check again. We are still up! :),1.0,0.5,Positive
6,"The overall market is looking RED, but $MBF is still GREEN(that's probably nothing)! 

If you don't believe, check - $BTC, $ETH, $SOL, $ADA, $LUNA, $DOT, $AVAX

And also coins like - $DOGE, $SHIB, $ELON, $FLOKI, $DOBO, $DOGGY

...and many more!

MBF HODL cryptocurrency ",0.25,0.28125,Positive
7,"🐻New $MBF Exchange Listing🐻

🎉 We are listing on Tokpie -  

🚀 Tokpie which has a 24h Trading Volume of $307,716,717 will be listing our MBF/USDT pair alongside their own marketing campaign!

MBF CryptoNews ALTSEASON",1.0,0.75,Positive
8,"🐻 $MBF has been finally added on Coinpaprika 🌶️

🖱️ Check the link - 

MBF BSC CryptocurrencyNews",1.0,0.0,Neutral
9,Thank you for the support. $MBF ,0.0,0.0,Neutral
0,Horsing around ,0.0,0.0,Neutral
1, I switch over to the iPad to try to log back into the space and spaces doesn't support ipads.....,0.0,0.0,Neutral
2,I’m giving up on twitter spaces for awhile. The android application is terrible for hosting. I’ll come back in a few months to see if its improved.,0.3666666666666667,-0.39999999999999997,Negative
3,Join me in my Space! ,0.0,0.0,Neutral
4,The meme is strong with him. He may be the chosen one! ,0.7333333333333333,0.5416666666666666,Positive
5,Can't wait to see how long it takes for this to be de-platformed ,0.4,-0.05,Negative
6,_Lexicon Better be death metal,0.5,0.5,Positive
7,About fucking time ,0.8,-0.6,Negative
8,RIP Thich Nhat Hanh ,0.0,0.0,Neutral
9,mammothbusiness  ,0.0,0.0,Neutral
0,"Will we get a relief rally in February? 
crypto",0.0,0.0,Neutral
1,"Higher highs, and higher lows. 

What if we just kept doing this over and over again? No insane multi year bears, no parabolic blow off tops? 

bitcoin crypto ",0.6666666666666666,0.3333333333333333,Positive
2,"Most crypto coins are down 60 to 90%. 

But at least my bitcoin is only down 47%! 

winning",0.537962962962963,0.05833333333333333,Positive
3,"Buy low, sell high. 

What part of that phase are we in right now?
 
Or are you a buy high sell low kind of investor?

Note: We can still go lower

crypto",0.5192857142857142,0.20095238095238097,Positive
4,  I have some,0.0,0.0,Neutral
5,The last time the RSI was this low for bitcoin was during the Covid crash... ,0.18333333333333332,0.0,Neutral
6,"Should have bought more jpegs... 
NFT ",0.5,0.5,Positive
7,": Fear not! Your cards are safe from forgery!🔐

Our cards are non-fungible, both physically and digitally🌟

Like Magic the…",0.5476190476190476,0.3333333333333333,Positive
8,"Want to earn a super easy passive crypto income? 

Then check out Celsius! 

Earn 6.2% bitcoin and 5.35% ethereum (great rates on altcoins too)

Use this link to get $50 by using promo code LARK or referral code 1825690ce9
",0.75,0.5583333333333333,Positive
9,bitcoin is going to be worth a million dollars per coin one day. Plan accordingly.,0.1,0.3,Positive
0,_crypto99: When people blame others for their losses ,0.0,0.0,Neutral
1,   do you have the video of his screen,0.0,0.0,Neutral
2,"  You were booted because your engagement is dead and influencers were ranked by the eyes they bring.

But you now perma banned from being considered/invited back in the future for how many times you have tagged me throwing a Karen tantrum.",0.25625,0.075,Positive
3, Ey  can you find me the cheat to simulate this. We need to be absolutely certain.,0.5714285714285714,0.21428571428571427,Positive
4, They are coming to your house to bang your mom,0.0,0.0,Neutral
5,Would it be funny if all the old rittles were actually riddles to find chips n stuff in the future.... ,0.35625,0.0875,Positive
6,"""The teams that won of the S2 games got chips.

Those with chips ascended."" ",0.0,0.0,Neutral
7,"I was making fun of him this morning.

I was wrong. 

Now a fan. ",0.55,-0.1,Negative
8,_crypto99 Ha!,0.0,0.0,Neutral
9," Brutal

Cardanosucks.eth",1.0,-0.875,Negative
0,"Which altcoins have the strongest fundamentals?

👇🏻👇🏻👇🏻",0.0,0.0,Neutral
1,,0.0,0.0,Neutral
2,"BTC  : 13 years old 
ETH: 6 years old 
BNB  : 4 years old 
USDT: 7 years old 
SOL: 2 years old 
DOT: 1.5 years old 
XRP: 9 years old 
ADA: 4 years old 
CRO : 3 years old
KASTA: 1 month old",0.2727272727272727,0.13636363636363635,Positive
3,What price should Bitcoin break back above before I change my name back to “The Moon 🌙 “?,0.03333333333333333,0.0,Neutral
4,I don’t like the look of this weekly candle for Bitcoin…,0.0,0.0,Neutral
5,"Bitcoin’s weekly candle closes in just a few hours. Are you bullish or bearish?

↔️            🐂              🐻 
👇            👇              👇",0.1,-0.2,Negative
6,"My YouTube channel was hacked today.

Bitcoin can’t be hacked.",0.0,0.0,Neutral
7,"Ethereum to $30,000 this year or I delete my Twitter.",0.0,0.0,Neutral
8,Please read the tweet before you tell me to delete my Twitter lol.. 😅 ,0.7,0.8,Positive
9,:   He said next year,0.0,0.0,Neutral
0,"Despite the Drop in cryptocurrency  Prices, Weekly NFT  Sales Reach $4.7 Billion, Increasing 81%
$BTC  $ETH

Bitcoin   Ethereum   cryptocurrency         Coindailynews NFT",0.0,0.0,Neutral
1, ,0.0,0.0,Neutral
2,: Want to work with with a massive amount of data (100+ PB) that is growing rapidly? Our Data Platform team is looking for a…,1.0,0.0,Neutral
3,"_: Ethereum  Fees Drop 35% Since Last Week, Average ETH  Gas Fee Still Above $30 per Transfer
$BTC  $ETH
",0.18888888888888888,-0.049999999999999996,Negative
4,"streaming  media  giant platform Netflix  may set foot in the NFTs  field
$BTC  $ETH

Bitcoin        Ethereum        cryptocurrency       Coindailynews Netflix NFTs ElonMusk",1.0,0.0,Neutral
5,: What are your thoughts on NFTs?,0.0,0.0,Neutral
6,"Report: Metaverses  and Instagram  Are Exploring an ‘Early Stage’ NFTs  feature 
$BTC  $ETH

BTC    Ethereum         cryptocurrency       coindailynews",0.3,0.1,Positive
7,"Ethereum  Fees Drop 35% Since Last Week, Average ETH  Gas Fee Still Above $30 per Transfer
$BTC  $ETH

Bitcoin       Ethereum       cryptocurrency      Coindailynews",0.18888888888888888,-0.049999999999999996,Negative
8,"_: Bitcoin , Ethereum , Monero Hashrates Tap Lifetime Highs — Dash , ETC , LTCs  Hashpower Lower Than Prior aths 
$BTC…",0.0,0.0,Neutral
9,"USDC Supply on Ethereum  Tops USDT 
$BTC  $ETH

Bitcoin       Ethereum       cryptocurrency       Coindailynews USDC USDT",0.0,0.0,Neutral
0,  your ledger responses are worrying,0.0,0.0,Neutral
1, omds,0.0,0.0,Neutral
2, LOL,0.7,0.8,Positive
3,_Godson ouch,0.0,0.0,Neutral
4, this never happened. get over the narrative and move on like the rest of us have.,0.0,0.0,Neutral
5,   shes so peng,0.0,0.0,Neutral
6, ill have 4 just for you,1.0,-0.5,Negative
7,  right then,0.5357142857142857,0.2857142857142857,Positive
8,  i would like,0.0,0.0,Neutral
9,  😝,0.0,0.0,Neutral
0,"_Crypto Invite me back on your show and I would be happy to explain why Bitcoin is perfect just the way it is, as well as answer any questions your listeners may have &amp; address the most common concerns that circulate throughout the crypto community.",0.6,0.39999999999999997,Positive
1," DM me &amp; we can schedule something,",0.0,0.0,Neutral
2,May apply for night shift at  to stack more sats. NewProfilePic ,0.5,0.5,Positive
3,The creation of Digital Property using Proof of Work and Nakamoto Consensus is a modern miracle. Bitcoin,0.15,0.1,Positive
4,"Enjoyed the opportunity to discuss our strategy, what makes Bitcoin unique, my life &amp; lessons learned,  analytics, focus &amp; laser eyes, digital transformation, crypto volatility, macroeconomics, regulation, &amp; the future with .
",0.45625,0.21875,Positive
5,"Bitcoin is progressively gaining the support of serious macroeconomic analysts &amp; market strategists like  as they come to realize the utility of a global, non-sovereign store of value asset to an investment portfolio facing inflation risk.
",0.3333333333333333,-0.16666666666666666,Negative
6,“Character is formed in the stormy billows of the world.” - Goethe on Bitcoin,0.0,0.0,Neutral
7,"  I discuss this topic in detail in the Spaces session below. Bitcoin can be used to create cybersecurity deposits attached to real accounts on the major social media platforms, giving everyone the ability to get verified in minutes for a few dollars.
",0.24166666666666667,0.02395833333333333,Positive
8," Twitter can solve the problem of scammers &amp; spambots if they allow real humans to post ~50,000 sats ($20) via Lightning⚡️&amp; get verified w/an Orange Check. Then we can limit comments/DMs to verified accounts. Bad actors forfeit their security deposit &amp;  monetizes malice.",0.48333333333333334,-0.24999999999999992,Negative
9,Bitcoin is Digital Energy. ,0.0,0.0,Neutral
0,"This is Brussels, the administrative center of the European Union.

And they dare to say El Salvador is a “dictatorship”? ",0.05,-0.05,Negative
1,NewProfilePic ,0.0,0.0,Neutral
2,: There’s no place like Bitcoin Twitter ,0.0,0.0,Neutral
3,: ,0.0,0.0,Neutral
4,"Nope, I was wrong, didn’t miss it.

El Salvador just bought 410 bitcoin for only 15 million dollars 🥳

Some guys are selling really cheap 🤷🏻‍♂️ ",0.8666666666666666,-0.033333333333333326,Negative
5,"Lo que pasó en Honduras es exactamente lo que intentaron hacer aquí.

Pero aquí los expusimos y los sancionamos. Allá confiaron en ellos y les robaron el Congreso.

No se puede confiar en ellos. Mientras te soban la espalda, te apuñalan. ",0.0,0.0,Neutral
6,"Türk Uzay üssü tarafından kaçırıldım, Amerikan Başkanı dahil herkesi devreye sokun! ",0.0,0.0,Neutral
7,"Türkiye Cumhuriyeti Cumhurbaşkanı  'a misafirperverliği ve göstermiş olduğu dostluk için Teşekkür ediyorum.

İki ülke için de çok önemli adımlar attık. Kendilerini El Salvador'da görmek için sabırsızlanıyorum 🇸🇻🇹🇷 ",0.0,0.0,Neutral
8,"No somos el patio trasero, ni el patio delantero de nadie.

Podemos ser amigos, aliados y vecinos.

Pero no somos su propiedad, no necesitamos que nos asciendan a “patio delantero”. ",0.0,0.0,Neutral
9,"Türkçe Dersinde Sözlüye kalkınca ben!
",0.0,0.0,Neutral
0,: ,0.0,0.0,Neutral
1,": Beware of ""Brooklyn Bakery Ronny."" He lovebombed me by taking me to the opera and showering me in affection even thoug…",0.0,0.0,Neutral
2, It really is,0.2,0.2,Positive
3, So true,0.65,0.35,Positive
4,,0.0,0.0,Neutral
5,,0.0,0.0,Neutral
6, 😕,0.0,0.0,Neutral
7,Never voting democrat again after having to drink an icee with a paper straw,0.0,0.0,Neutral
8, Malignant,0.0,0.0,Neutral
9,Getting drunk and making people watch the Carol Burnett show,1.0,-0.5,Negative
